371,BIIB,Biogen Inc.,20.47B,139.88,-0.43%,9.68B
372,STLD,"Steel Dynamics, Inc.",20.30B,133.32,-0.12%,17.54B
373,ESS,"Essex Property Trust, Inc.",20.26B,303.91,0.78%,1.82B
374,CTRA,Coterra Energy Inc.,20.17B,26.4,-1.75%,5.24B
375,MAA,"Mid-America Apartment Communities, Inc.",20.02B,166.9,1.63%,2.19B
376,ON,ON Semiconductor Corporation,19.97B,47.38,-6.27%,7.08B
377,EIX,Edison International,19.88B,51.34,-2.41%,17.60B
378,HUBB,Hubbell Incorporated,19.82B,369.27,-2.15%,5.63B
379,CFG,"Citizens Financial Group, Inc.",19.75B,45.17,0.40%,7.12B
380,PFG,"Principal Financial Group, Inc.",19.74B,87.53,1.90%,16.13B
381,PTC,PTC Inc.,19.58B,162.75,-0.17%,2.31B
382,DGX,Quest Diagnostics Incorporated,19.04B,171.55,-1.10%,9.87B
383,CLX,The Clorox Company,19.02B,154.38,0.70%,7.17B
384,BBY,"Best Buy Co., Inc.",18.95B,88.62,-1.98%,42.23B
385,NI,NiSource Inc.,18.84B,40.09,0.25%,5.46B
386,PKG,Packaging Corporation of America,18.79B,210.75,-0.94%,8.38B
387,KEY,KeyCorp,18.76B,16.98,0.71%,4.24B
388,PODD,Insulet Corporation,18.76B,267.09,-1.31%,2.07B
389,L,Loews Corporation,18.26B,85.79,1.89%,17.51B
390,LUV,Southwest Airlines Co.,18.16B,30.64,-0.16%,27.48B
391,BAX,Baxter International Inc.,17.96B,35.1,-0.45%,10.64B
392,COO,"The Cooper Companies, Inc.",17.94B,89.87,-1.23%,3.90B
393,SNA,Snap-on Incorporated,17.65B,336.92,-0.63%,5.11B
394,TER,"Teradyne, Inc.",17.60B,108.81,-5.23%,2.82B
395,ARE,"Alexandria Real Estate Equities, Inc.",17.47B,100.94,1.88%,3.12B
396,TPR,"Tapestry, Inc.",17.45B,84.31,-2.60%,6.78B
397,TRMB,Trimble Inc.,17.37B,70.68,-0.99%,3.68B
398,FDS,FactSet Research Systems Inc.,17.29B,454.71,0.23%,2.23B
399,GPC,Genuine Parts Company,17.03B,122.69,0.48%,23.49B
400,LDOS,"Leidos Holdings, Inc.",17.01B,129.67,0.06%,16.66B
401,ULTA,"Ulta Beauty, Inc.",16.96B,365.78,-0.26%,11.36B
402,JBL,Jabil Inc.,16.88B,154.12,-2.92%,27.49B
403,GEN,Gen Digital Inc.,16.81B,27.28,-0.76%,3.90B
404,FFIV,"F5, Inc.",16.78B,290.97,-1.31%,2.89B
405,WDC,Western Digital Corporation,16.77B,48.2,-3.91%,15.60B
406,RL,Ralph Lauren Corporation,16.72B,270.73,-1.83%,6.95B
407,NWS,News Corporation,16.64B,31.89,0.35%,10.25B
408,DPZ,"Domino's Pizza, Inc.",16.54B,482.28,0.66%,4.71B
409,LNT,Alliant Energy Corporation,16.39B,63.85,-0.20%,3.98B
410,DG,Dollar General Corporation,16.27B,73.98,-0.28%,40.17B
411,MOH,"Molina Healthcare, Inc.",16.26B,292.98,2.90%,39.16B
412,EXPD,"Expeditors International of Washington, Inc.",16.16B,117.05,-0.30%,10.60B
413,UDR,"UDR, Inc.",16.11B,44.34,1.42%,1.70B
414,WST,"West Pharmaceutical Services, Inc.",16.09B,222.56,1.29%,2.89B
415,OMC,Omnicom Group Inc.,16.07B,81.76,-2.39%,15.69B
416,ZBRA,Zebra Technologies Corporation,15.98B,311,-2.65%,4.98B
417,NWSA,News Corporation,15.91B,28.06,-0.07%,10.25B
418,JBHT,"J.B. Hunt Transport Services, Inc.",15.89B,158.9,-0.89%,12.09B
419,MAS,Masco Corporation,15.84B,74.71,-1.74%,7.83B
420,BLDR,"Builders FirstSource, Inc.",15.81B,139.15,-2.06%,16.40B
421,EVRG,"Evergy, Inc.",15.77B,68.56,-0.78%,5.85B
422,DLTR,"Dollar Tree, Inc.",15.73B,73.16,-1.32%,31.22B
423,BF.B,Brown-Forman Corporation,15.63B,33.07,0.33%,4.08B
424,HRL,Hormel Foods Corporation,15.58B,28.38,-1.22%,11.91B
425,J,Jacobs Solutions Inc.,15.51B,126.54,0.11%,11.62B
426,PNR,Pentair plc,15.32B,92.98,-0.32%,4.08B
427,FSLR,"First Solar, Inc.",15.12B,141.18,-9.98%,4.21B
428,APTV,Aptiv PLC,14.99B,65.32,-1.36%,19.71B
429,EG,"Everest Group, Ltd.",14.93B,347.41,1.11%,17.16B
430,BALL,Ball Corporation,14.72B,52.06,0.13%,11.80B
431,KIM,Kimco Realty Corporation,14.71B,21.61,-0.32%,2.04B
432,IEX,IDEX Corporation,14.68B,193.74,-1.05%,3.27B
433,AVY,Avery Dennison Corporation,14.65B,185.49,-0.14%,8.76B
434,AMCR,Amcor plc,14.53B,10.06,-0.30%,13.54B
435,SOLV,Solventum Corporation,14.41B,83.44,-0.71%,8.25B
436,DOC,"Healthpeak Properties, Inc.",14.40B,20.18,0.80%,2.70B
437,HOLX,"Hologic, Inc.",14.18B,63.21,-1.79%,4.04B
438,INCY,Incyte Corporation,14.16B,73.18,-1.51%,4.24B
439,ALGN,"Align Technology, Inc.",13.87B,185.77,-2.85%,4.00B
440,REG,Regency Centers Corporation,13.75B,75.56,0.41%,1.50B
441,CF,"CF Industries Holdings, Inc.",13.49B,79.58,2.31%,5.94B
442,TXT,Textron Inc.,13.37B,73.25,0.25%,13.70B
443,CPT,Camden Property Trust,13.35B,123.23,1.76%,1.56B
444,RVTY,"Revvity, Inc.",13.27B,110.45,-4.05%,2.76B
445,SWK,"Stanley Black & Decker, Inc.",13.22B,85.61,-2.07%,15.37B
446,POOL,Pool Corporation,13.04B,342.54,-1.50%,5.31B
447,KMX,"CarMax, Inc.",12.61B,81.96,-0.68%,27.80B
448,JKHY,"Jack Henry & Associates, Inc.",12.53B,171.87,0.06%,2.27B
449,TAP,Molson Coors Beverage Company,12.47B,61.54,-0.08%,11.63B
450,BXP,"BXP, Inc.",12.34B,70.04,0.07%,3.05B
451,CAG,"Conagra Brands, Inc.",12.21B,25.57,0.83%,11.93B
452,PAYC,"Paycom Software, Inc.",12.11B,216.35,-1.54%,1.88B
453,UHS,"Universal Health Services, Inc.",12.09B,186.06,3.30%,15.83B
454,MRNA,"Moderna, Inc.",12.00B,31.09,-7.42%,3.24B
455,JNPR,"Juniper Networks, Inc.",11.99B,35.98,-0.03%,5.07B
456,NDSN,Nordson Corporation,11.92B,209.5,-0.71%,2.67B
457,CPB,The Campbell's Company,11.88B,39.85,-0.47%,9.89B
458,EPAM,"EPAM Systems, Inc.",11.82B,208.31,-2.31%,4.73B
459,CHRW,"C.H. Robinson Worldwide, Inc.",11.78B,99.24,1.08%,17.72B
460,DVA,DaVita Inc.,11.74B,146.74,0.54%,12.82B
461,AKAM,"Akamai Technologies, Inc.",11.71B,77.87,-2.15%,3.99B
462,SJM,The J. M. Smucker Company,11.61B,109.14,-0.02%,8.79B
463,VTRS,Viatris Inc.,11.37B,9.53,-15.21%,14.74B
464,HST,"Host Hotels & Resorts, Inc.",11.19B,16,-0.06%,5.69B
465,EMN,Eastman Chemical Company,11.15B,96.9,-1.31%,9.38B
466,ALLE,Allegion plc,10.99B,127.39,-1.57%,3.77B
467,LKQ,LKQ Corporation,10.85B,41.87,0.26%,14.36B
468,PNW,Pinnacle West Capital Corporation,10.82B,90.86,-0.85%,5.12B
469,AIZ,"Assurant, Inc.",10.72B,211.04,2.31%,11.88B
470,NCLH,Norwegian Cruise Line Holdings Ltd.,10.43B,23.72,-5.31%,9.48B
471,GL,Globe Life Inc.,10.42B,124.18,1.85%,5.78B
472,BEN,"Franklin Resources, Inc.",10.42B,19.84,-0.45%,8.74B
473,SWKS,"Skyworks Solutions, Inc.",10.31B,64.12,-3.98%,4.05B
474,IPG,"The Interpublic Group of Companies, Inc.",10.07B,27.01,-2.35%,9.19B
475,MGM,MGM Resorts International,9.90B,34.67,-1.42%,17.24B
476,BG,Bunge Global SA,9.81B,73.25,-0.01%,53.11B
477,DAY,Dayforce Inc.,9.80B,61.64,-1.53%,1.76B
478,WBA,"Walgreens Boots Alliance, Inc.",9.70B,11.23,1.72%,150.41B
479,TECH,Bio-Techne Corporation,9.68B,61.23,-4.55%,1.20B
480,AOS,A. O. Smith Corporation,9.49B,65.94,-0.33%,3.82B
481,WYNN,"Wynn Resorts, Limited",9.29B,88.19,-3.19%,7.13B
482,ALB,Albemarle Corporation,9.28B,78.97,1.86%,5.38B
483,HAS,"Hasbro, Inc.",9.21B,66.01,-2.96%,4.14B
484,FRT,Federal Realty Investment Trust,8.97B,104.01,-0.98%,1.21B
485,HSIC,"Henry Schein, Inc.",8.96B,72.12,-0.59%,12.67B
486,CRL,"Charles River Laboratories International, Inc.",8.43B,164.88,-1.83%,4.05B
487,GNRC,Generac Holdings Inc.,8.12B,136.24,-2.08%,4.30B
488,ENPH,"Enphase Energy, Inc.",8.11B,61.19,-3.96%,1.33B
489,MTCH,"Match Group, Inc.",8.02B,31.88,-2.21%,3.48B
490,MOS,The Mosaic Company,7.97B,25.09,-0.52%,11.12B
491,IVZ,Invesco Ltd.,7.70B,17.21,0.12%,6.07B
492,APA,APA Corporation,7.55B,20.42,-7.22%,9.73B
493,PARA,Paramount Global,7.54B,11.24,0.18%,29.21B
494,AES,The AES Corporation,7.38B,10.38,-4.95%,12.28B
495,LW,"Lamb Weston Holdings, Inc.",7.34B,51.48,-0.83%,6.33B
496,MHK,"Mohawk Industries, Inc.",7.29B,116.46,-1.86%,10.84B
497,MKTX,MarketAxess Holdings Inc.,7.21B,191.35,-0.24%,817.10M
498,CZR,"Caesars Entertainment, Inc.",7.05B,33.25,-3.79%,11.25B
499,HII,"Huntington Ingalls Industries, Inc.",6.82B,174.28,0.63%,11.54B
500,BWA,BorgWarner Inc.,6.48B,29.61,-1.50%,14.09B
501,TFX,Teleflex Incorporated,6.46B,139.11,-21.69%,3.05B
502,CE,Celanese Corporation,5.53B,50.54,-4.01%,10.28B
503,FMC,FMC Corporation,4.71B,37.7,-1.31%,4.25B
