75,HON,Honeywell International Inc.,137.96B,212.27,0.44%,38.50B
76,LOW,"Lowe's Companies, Inc.",137.48B,245.5,-0.64%,83.67B
77,CMCSA,Comcast Corporation,133.81B,35.39,0.83%,123.73B
78,DE,Deere & Company,130.88B,480.55,0.42%,47.86B
79,BA,The Boeing Company,130.39B,173.83,0.46%,66.52B
80,SBUX,Starbucks Corporation,130.05B,114.49,1.32%,36.15B
81,FI,"Fiserv, Inc.",129.98B,231.58,0.81%,20.46B
82,AMAT,"Applied Materials, Inc.",127.26B,156.64,-7.04%,27.64B
83,ADP,"Automatic Data Processing, Inc.",126.66B,311.3,-0.03%,19.90B
84,PANW,"Palo Alto Networks, Inc.",124.14B,187.5,-1.08%,8.57B
85,COP,ConocoPhillips,123.89B,97.37,1.29%,56.45B
86,VRTX,Vertex Pharmaceuticals Incorporated,121.85B,474.5,-0.96%,11.02B
87,BMY,Bristol-Myers Squibb Company,119.32B,58.8,2.47%,48.30B
88,NKE,"NIKE, Inc.",118.36B,80.02,-1.42%,48.98B
89,KKR,KKR & Co. Inc.,117.42B,132.2,-0.36%,26.57B
90,MDT,Medtronic plc,116.38B,90.74,0.18%,33.20B
91,PLD,"Prologis, Inc.",115.75B,122.77,0.50%,8.56B
92,ANET,Arista Networks Inc,115.48B,91.57,-4.99%,7.00B
93,MMC,"Marsh & McLennan Companies, Inc.",115.22B,234.61,1.32%,24.46B
94,ETN,Eaton Corporation plc,114.76B,290.38,-2.34%,24.88B
95,CB,Chubb Limited,112.87B,281.69,2.93%,56.72B
96,ADI,"Analog Devices, Inc.",111.02B,223.85,-4.23%,9.34B
97,LMT,Lockheed Martin Corporation,105.09B,446.46,1.12%,71.04B
98,MU,"Micron Technology, Inc.",102.30B,91.82,-6.03%,29.09B
99,UPS,"United Parcel Service, Inc.",100.48B,117.63,0.63%,91.07B
100,INTC,Intel Corporation,99.98B,23.09,-1.83%,53.10B
101,ICE,"Intercontinental Exchange, Inc.",98.16B,170.84,-0.19%,9.28B
102,LRCX,Lam Research Corporation,97.78B,76.17,-6.31%,16.21B
103,WELL,Welltower Inc.,97.17B,151.52,0.58%,7.99B
104,SO,The Southern Company,96.84B,88.29,-0.52%,26.72B
105,AMT,American Tower Corporation,95.35B,203.97,1.61%,10.13B
106,CRWD,"CrowdStrike Holdings, Inc.",93.66B,380.24,-3.63%,3.74B
107,MO,"Altria Group, Inc.",93.12B,55.08,0.42%,20.44B
108,KLAC,KLA Corporation,92.91B,699.16,-5.33%,10.85B
109,WM,"Waste Management, Inc.",92.33B,229.61,0.40%,22.06B
110,CME,CME Group Inc.,90.04B,249.85,0.75%,6.13B
111,GEV,GE Vernova Inc.,90.02B,326.28,-2.67%,34.94B
112,DUK,Duke Energy Corporation,89.93B,115.89,-0.36%,30.36B
113,ELV,"Elevance Health, Inc.",89.32B,392.87,1.75%,176.81B
114,MCO,Moody's Corporation,88.86B,492.85,-1.10%,7.09B
115,SHW,The Sherwin-Williams Company,88.86B,355.51,-1.13%,23.10B
116,EQIX,"Equinix, Inc.",88.61B,910.38,0.01%,8.17B
117,AON,Aon plc,87.26B,404,1.19%,15.70B
118,ABNB,"Airbnb, Inc.",86.65B,139.45,-3.18%,11.10B
119,AJG,Arthur J. Gallagher & Co.,84.86B,333.17,1.47%,10.93B
120,PH,Parker-Hannifin Corporation,84.34B,655,-0.85%,19.91B
121,CI,The Cigna Group,84.26B,302.92,-0.79%,247.12B
122,APO,"Apollo Global Management, Inc.",84.11B,147.44,-0.14%,25.89B
123,MDLZ,"Mondelez International, Inc.",82.76B,63.98,0.84%,36.44B
124,FTNT,"Fortinet, Inc.",82.35B,107.09,-1.77%,5.96B
125,CTAS,Cintas Corporation,82.07B,203.37,-0.46%,9.94B
126,MMM,3M Company,81.72B,150.52,2.10%,24.58B
127,CVS,CVS Health Corporation,81.30B,64.48,0.97%,370.66B
128,HCA,"HCA Healthcare, Inc.",79.70B,320.94,0.32%,70.60B
129,APH,Amphenol Corporation,79.28B,65.46,-1.16%,15.22B
130,CEG,Constellation Energy Corporation,78.13B,249.74,-7.55%,23.57B
131,MCK,McKesson Corporation,77.81B,620.85,-0.44%,344.58B
132,ORLY,"O'Reilly Automotive, Inc.",77.80B,"1,353.46",1.73%,16.71B
133,TT,Trane Technologies plc,77.22B,344.28,-1.83%,19.84B
134,ITW,Illinois Tool Works Inc.,76.65B,261.15,-0.10%,15.90B
135,MAR,"Marriott International, Inc.",76.43B,277.21,-1.53%,6.62B
136,TDG,TransDigm Group Incorporated,75.69B,"1,349.52",1.25%,8.16B
137,ECL,Ecolab Inc.,75.61B,267.18,0.27%,15.74B
138,DELL,Dell Technologies Inc.,75.23B,107.83,-6.76%,93.95B
139,REGN,"Regeneron Pharmaceuticals, Inc.",75.21B,702.78,-0.59%,14.20B
140,COF,Capital One Financial Corporation,75.11B,196.98,0.11%,27.40B
141,PNC,"The PNC Financial Services Group, Inc.",74.62B,188.56,0.82%,20.77B
142,ZTS,Zoetis Inc.,73.88B,164.98,-0.01%,9.26B
143,CL,Colgate-Palmolive Company,73.20B,90.2,0.03%,20.10B
144,EOG,"EOG Resources, Inc.",73.14B,130.61,0.59%,23.86B
145,RSG,"Republic Services, Inc.",72.67B,232.69,0.48%,16.03B
146,USB,U.S. Bancorp,72.19B,46.28,1.16%,25.10B
147,MSI,"Motorola Solutions, Inc.",71.71B,429.55,0.77%,10.82B
148,CMG,"Chipotle Mexican Grill, Inc.",71.48B,52.74,-1.27%,11.31B
149,SNPS,"Synopsys, Inc.",70.31B,454.71,-3.35%,6.07B
150,PYPL,"PayPal Holdings, Inc.",69.97B,70.73,-1.83%,31.80B
151,APD,"Air Products and Chemicals, Inc.",69.50B,312.41,-0.46%,12.03B
152,WDAY,"Workday, Inc.",69.31B,260.57,-3.88%,8.45B
153,SPG,"Simon Property Group, Inc.",68.84B,182.58,-0.90%,5.96B
